分類,品目名,料金
電気・ガス・石油・厨房器具,ガス台・調理台・レンジ台 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,ガステーブル・ガスコンロ 電池を取り除いてからお出しください。,400円 【A券】x2
趣味・スポーツ・レジャー用品,【楽器】エレキギター 楽器ケースに入れて排出する場合、楽器ケースの料金は不要です。,400円 【A券】x2
趣味・スポーツ・レジャー用品,【楽器】オルガン・電子オルガン・キーボード,"2,100円 【B券】x7"
趣味・スポーツ・レジャー用品,【楽器】キーボード（一人で持ち運びできるもの）,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,【楽器】クラシックギター 楽器ケースに入れて排出する場合、楽器ケースの料金は不要です。,400円 【A券】x2
趣味・スポーツ・レジャー用品,【楽器】琴 ケース込可,400円 【A券】x2
趣味・スポーツ・レジャー用品,【楽器】三味線 ケース込可,400円 【A券】x2
趣味・スポーツ・レジャー用品,【楽器】ドラム,400円 【A券】x2
趣味・スポーツ・レジャー用品,【楽器】フォークギター アコースティックギター・エレアコ等 ※楽器ケースに入れて排出する場合、楽器ケースの料金は不要です。,400円 【A券】x2
趣味・スポーツ・レジャー用品,【楽器】周辺機器：アンプ 楽器に接続しないアンプは『【オーディオ機器】アンプ』でお申し込みください。,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,【楽器】周辺機器：スピーカー 楽器用のものに限る。,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,【楽器】ケース,400円 【A券】x2
趣味・スポーツ・レジャー用品,花瓶 注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
趣味・スポーツ・レジャー用品,カラオケ演奏装置（大きさ問わず）,700円 【A券】x2 【B券】x1
その他・作業用具,ガラスケース（最大辺１５０㎝未満） 注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,換気扇 換気扇フードは、別受付となります。,400円 【A券】x2
電気・ガス・石油・厨房器具,換気扇フード 換気扇は別受付となります。,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,【乾燥機】食器洗い乾燥機 中の水を完全に抜いてからお出しください。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,【乾燥機】食器乾燥機 食器を乾かすだけのものです。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
電気・ガス・石油・厨房器具,【乾燥機】布団乾燥機 注：中身に付属品以外の物がある場合回収を見送らせて頂きます。冷媒が使われているものは、区では収集できません。,400円 【A券】x2
その他・作業用具,脚立 長さ２メートルを超えるものはお申し込み不可,400円 【A券】x2
その他・作業用具,キャットタワー 1商品として購入し、かつ10kg以下のもの。一括りしてお出しください。,400円 【A券】x2
その他・作業用具,キャリーカート・ショッピングカート 中身は空にしてお出しください。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
趣味・スポーツ・レジャー用品,【キャンプ用品】椅子付テーブル,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,キャンプ用品【折りたたみテーブル】 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
趣味・スポーツ・レジャー用品,キャンプ用品【鉄板・網】,400円 【A券】x2
趣味・スポーツ・レジャー用品,キャンプ用品【テント・タープ】,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,キャンプ用品【バーベキューコンロ】,400円 【A券】x2
趣味・スポーツ・レジャー用品,【キャンプ用品】パイプ椅子,400円 【A券】x2
電気・ガス・石油・厨房器具,給湯器（壁掛け式）,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,給湯器（床置型）,700円 【A券】x2 【B券】x1
家具・寝具・建具,鏡台・ドレッサー 椅子は別料金となりますのでご注意下さい。注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,"1,200円 【B券】x4"
その他・作業用具,空気入れ ※30cm以上のもの 30cm未満のものは、「陶器・ガラス・金属ごみ」の日にお出しください。,400円 【A券】x2
電気・ガス・石油・厨房器具,空気清浄機 冷媒が使われているものは、区では収集できません。説明書やラベルでご確認下さい。（冷媒が使われているものは販売店・専門業者にご相談ください。）,400円 【A券】x2
趣味・スポーツ・レジャー用品,クーラーボックス 釣り等の際に使用するような氷で中身を冷やすボックス。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
その他・作業用具,クリスマスツリー（高さ９０㎝未満） プラスチック製のもの。,400円 【A券】x2
その他・作業用具,クリスマスツリー（高さ９０㎝以上） プラスチック製のもの。,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,グリル鍋,400円 【A券】x2
その他・作業用具,【車椅子】手動式,700円 【A券】x2 【B券】x1
その他・作業用具,【車椅子】電動式,"2,100円 【B券】x7"
その他・作業用具,珪藻土（バス）マット 1畳以下のもの,400円 【A券】x2
その他・作業用具,ケトル・ポット（電気) ※30cm以上のもの 30cm未満のものは、「陶器・ガラス・金属ごみ」の日にお出しください。,400円 【A券】x2
趣味・スポーツ・レジャー用品,健康器具【サイクリングマシン】,"1,200円 【B券】x4"
趣味・スポーツ・レジャー用品,健康器具【ステッパー】 足で交互に踏むもの。,400円 【A券】x2
趣味・スポーツ・レジャー用品,健康器具【美容器具】,400円 【A券】x2
趣味・スポーツ・レジャー用品,健康器具【ぶら下がり健康器】,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,健康器具【鉄アレイ（１０ｋｇ以下）】 ２ｋｇまでは【陶器・ガラス・金属ごみ】の日にお出し下さい。,400円 【A券】x2
趣味・スポーツ・レジャー用品,健康器具【鉄アレイ（１１ｋｇ以上）】,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,健康器具【ランニングマシン】,"2,100円 【B券】x7"
趣味・スポーツ・レジャー用品,健康器具【ローイングマシン】,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,【健康器具】マッサージ機（座椅子型）,700円 【A券】x2 【B券】x1
その他・作業用具,高圧洗浄機 付属品も可、一括りにしてお出しください。,400円 【A券】x2
その他・作業用具,工具類【工具箱（中身込み）】,400円 【A券】x2
その他・作業用具,工具類【大工道具（中身込み）】,400円 【A券】x2
その他・作業用具,工具類【電気ドリル】,400円 【A券】x2
その他・作業用具,工具類【電気のこぎり・チェーンソー】,400円 【A券】x2
その他・作業用具,コードリール,400円 【A券】x2
その他・作業用具,コーヒーメーカー ※30cm以上のもの 30cm未満のものは、「陶器・ガラス・金属ごみ」の日にお出しください。,400円 【A券】x2
電気・ガス・石油・厨房器具,小型調理器・たこ焼き器,400円 【A券】x2
電気・ガス・石油・厨房器具,【こたつ】こたつ本体（こたつ板を除く） こたつ板は別料金となりますのでご注意下さい。注：引き出しに付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
家具・寝具・建具,【こたつ】こたつ板 こたつ本体は別料金となりますのでご注意下さい。,400円 【A券】x2
家具・寝具・建具,子供用（ベビー)椅子,400円 【A券】x2
その他・作業用具,【子供用遊具】一輪車,400円 【A券】x2
その他・作業用具,【子供用遊具】三輪車,400円 【A券】x2
その他・作業用具,【子供用遊具】ジャングルジム（室内用）,700円 【A券】x2 【B券】x1
その他・作業用具,【子供用遊具】乗用玩具,400円 【A券】x2
その他・作業用具,【子供用遊具】すべり台,700円 【A券】x2 【B券】x1
その他・作業用具,【子供用遊具】そり,400円 【A券】x2
その他・作業用具,【子供用遊具】竹馬,400円 【A券】x2
その他・作業用具,【子供用遊具】トランポリン,700円 【A券】x2 【B券】x1
その他・作業用具,【子供用遊具】その他,400円 【A券】x2
その他・作業用具,【子供用遊具】ブランコ,700円 【A券】x2 【B券】x1
OA機器,コピー機（サイズＢ４未満）,"1,200円 【B券】x4"
OA機器,コピー機（サイズＢ４以上）,"1,700円 【A券】x1 【B券】x5"
その他・作業用具,ごみ箱（分別型：最大辺９０㎝未満） 中身は空にしてお出しください。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
その他・作業用具,ごみ箱（分別型：最大辺９０㎝以上） 中身は空にしてお出しください。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,米びつ（引き出し・棚付き含む）,400円 【A券】x2
趣味・スポーツ・レジャー用品,ゴルフ用具【クラブ（10本以内）】 バッグは別料金となりますのでご注意下さい。,400円 【A券】x2
趣味・スポーツ・レジャー用品,【バッグ】ゴルフ用具 クラブは別料金となりますのでご注意下さい。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
その他・作業用具,コンポスト容器・ポリ容器 中身は空にしてお出しください。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
趣味・スポーツ・レジャー用品,サーフボード・ロングボード 最大辺が２００ｃｍを超えるものは、切断の上お出し下さい。,400円 【A券】x2
家具・寝具・建具,サイドボード（三辺の合計が180㎝未満） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
家具・寝具・建具,サイドボード（三辺の合計が180㎝以上240㎝未満） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,700円 【A券】x2 【B券】x1
家具・寝具・建具,サイドボード（三辺の合計が240㎝以上310㎝未満） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,"1,200円 【B券】x4"
家具・寝具・建具,サイドボード（三辺の合計が310㎝以上） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,"2,100円 【B券】x7"
その他・作業用具,【作業用具】一輪車,700円 【A券】x2 【B券】x1
その他・作業用具,【作業用具】くわ,400円 【A券】x2
その他・作業用具,【作業用具】台車,700円 【A券】x2 【B券】x1
その他・作業用具,【作業用具】スコップ 鎌、鍬（くわ）、鋤（すき）,400円 【A券】x2
その他・作業用具,【作業用具】つるはし,700円 【A券】x2 【B券】x1
その他・作業用具,【作業用具】手押し車,700円 【A券】x2 【B券】x1
その他・作業用具,三脚・スタンド（カメラ・ビデオ用など） 家庭で使用していたもので、10kg以下のもの（カメラ・ビデオ用など） ※照明用スタンドは電気スタンドでお申し込みください。,400円 【A券】x2
家具・寝具・建具,ＣＤカセットケース 注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
家具・寝具・建具,ＣＤカセットラック 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
家具・寝具・建具,【敷物】ウッドカーペット（６畳未満） 最大辺が２００ｃｍを超えるものは、切断の上お出し下さい。,"1,700円 【A券】x1 【B券】x5"
家具・寝具・建具,【敷物】ウッドカーペット（６畳以上） 最大辺が２００ｃｍを超えるものは、切断の上お出し下さい。,"2,100円 【B券】x7"
家具・寝具・建具,【敷物】カーペット（５畳未満） 最大辺が２００ｃｍを超えるものは、折畳むか切断の上お出し下さい。 ホットカーペットのカバー(5畳未満),400円 【A券】x2
家具・寝具・建具,【敷物】カーペット（５畳以上） 最大辺が２００ｃｍを超えるものは、折畳むか切断の上お出し下さい。 ホットカーペットカバー(5畳以上),700円 【A券】x2 【B券】x1
家具・寝具・建具,敷物【ござ】,400円 【A券】x2
家具・寝具・建具,【敷物】ホットカーペット（５畳未満）,400円 【A券】x2
家具・寝具・建具,【敷物】ホットカーペット（５畳以上）,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,自転車（１６インチ未満） サイズのほうはタイヤ・リムをご確認ください。,400円 【A券】x2
趣味・スポーツ・レジャー用品,自転車（１６インチ以上） サイズのほうはタイヤ・リムをご確認ください。,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,自転車（電動） ﾊﾞｯﾃﾘｰと充電器も一緒に収集致します。,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,竹刀（１０本以内）,400円 【A券】x2
電気・ガス・石油・厨房器具,ジューサー、ミキサー、低温調理器、ハンドブレンダー、ブレンダー 低温調理器、ハンドブレンダー、ブレンダー。30㎝未満は「陶器・ガラス・金属ごみ」にお出しください。,400円 【A券】x2
OA機器,シュレッダ（サイズＢ４未満）,700円 【A券】x2 【B券】x1
OA機器,シュレッダ（サイズＢ４以上）,"1,200円 【B券】x4"
電気・ガス・石油・厨房器具,【照明器具】シャンデリア・シーリングライト シャンデリア、シーリングライト、フロアライト、電気のかさ。※付属の蛍光管・蛍光灯は取り外して「資源」でお出しください。,400円 【A券】x2
電気・ガス・石油・厨房器具,【照明器具】電気スタンド 蛍光管・蛍光灯は「資源」でお出しください。,400円 【A券】x2
その他・作業用具,シルバーカー・手押車 注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
趣味・スポーツ・レジャー用品,水槽（最大辺６０㎝未満：付属品含む）,400円 【A券】x2
趣味・スポーツ・レジャー用品,水槽（最大辺６０㎝以上：付属品含む） 中味があると収集できません。中味は全て出してください。,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,炊飯器 最大辺３０ｃｍ未満は「陶器・ガラス・金属ごみ」にお出し下さい。,400円 【A券】x2
趣味・スポーツ・レジャー用品,スーツケース 中身は空にしてお出しください。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
家具・寝具・建具,姿見,400円 【A券】x2
趣味・スポーツ・レジャー用品,スキー板 ストックも一緒に出せます。,400円 【A券】x2
OA機器,スキャナ（サイズＢ４未満）,400円 【A券】x2
OA機器,スキャナ（サイズＢ４以上）,"1,200円 【B券】x4"
家具・寝具・建具,スチール棚（最大辺９０㎝未満） 金属製の棚。メタルラック、エレクター,700円 【A券】x2 【B券】x1
家具・寝具・建具,スチール棚（最大辺９０㎝以上） 金属製の棚。メタルラック、エレクター,"1,700円 【A券】x1 【B券】x5"
電気・ガス・石油・厨房器具,ステレオセット（スピーカー含む） セット内のスピーカーは２個までとなります。,"1,700円 【A券】x1 【B券】x5"
電気・ガス・石油・厨房器具,ミニコンポ（スピーカー含む） セット内のスピーカーは２個までとなります。,400円 【A券】x2
電気・ガス・石油・厨房器具,ストーブ 灯油と電池は抜いてお出し下さい。残っていると収集できません。電池は資源お出しください。,400円 【A券】x2
電気・ガス・石油・厨房器具,【暖房器具】ファンヒーター 灯油と電池は抜いてお出し下さい。,400円 【A券】x2
趣味・スポーツ・レジャー用品,ストックのみ（１０本以内）,400円 【A券】x2
趣味・スポーツ・レジャー用品,スノーボード,400円 【A券】x2
電気・ガス・石油・厨房器具,スピーカー（2個まで：最大辺50㎝未満）,400円 【A券】x2
電気・ガス・石油・厨房器具,スピーカー（2個まで：最大辺50㎝以上）,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,ズボンプレッサー,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,扇風機 温風機能がある製品は電気ストーブです。,400円 【A券】x2
家具・寝具・建具,洗面化粧台・洗面台 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,"1,200円 【B券】x4"
電気・ガス・石油・厨房器具,掃除機 ロボット掃除機も含みます。,400円 【A券】x2
その他・作業用具,掃除道具 ほうき、デッキブラシ等の掃除用具(5本まで)一括りにして排出,400円 【A券】x2
趣味・スポーツ・レジャー用品,体重計 体組成計、ヘルスメーター。30cm未満は陶器ガラス金属ごみにお出しください。,400円 【A券】x2
家具・寝具・建具,畳（半畳）,700円 【A券】x2 【B券】x1
家具・寝具・建具,畳（一畳）,"1,200円 【B券】x4"
家具・寝具・建具,畳（発泡スチロール製のもの：半畳）,400円 【A券】x2
家具・寝具・建具,畳（発泡スチロール製のもの：一畳）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【建具】雨戸,700円 【A券】x2 【B券】x1
家具・寝具・建具,【建具】網戸,400円 【A券】x2
家具・寝具・建具,【建具】アルミサッシ,700円 【A券】x2 【B券】x1
家具・寝具・建具,【建具】ガラス戸,700円 【A券】x2 【B券】x1
家具・寝具・建具,【建具】ドア,700円 【A券】x2 【B券】x1
家具・寝具・建具,【建具】ふすま,400円 【A券】x2
家具・寝具・建具,【建具】ついたて,400円 【A券】x2
電気・ガス・石油・厨房器具,【暖房器具】パネルヒーター,400円 【A券】x2
家具・寝具・建具,【机】学習机（棚付） 椅子は別受付になります。★片袖・両袖付きのOAデスクや平机は受付センターでお申し込みください。 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,"1,700円 【A券】x1 【B券】x5"
家具・寝具・建具,【机】学習机・平机 勉強机。椅子は別受付になります。上棚付きは「学習机（棚付）でお申し込みください。★片袖・両袖付きのOAデスクや平机は受付センターでお申し込みください。注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,"1,200円 【B券】x4"
家具・寝具・建具,【机】パソコンデスク 椅子は別受付になります。★片袖・両袖付きのOAデスクや平机は受付センターでお申し込みください。 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,700円 【A券】x2 【B券】x1
家具・寝具・建具,【机】ライディングデスク 椅子は別受付になります。★片袖・両袖付きのOAデスクや平机は受付センターでお申し込みください。 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,"1,200円 【B券】x4"
家具・寝具・建具,【机】文机 座って使う低めの机。注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
家具・寝具・建具,【机】学習机の上棚のみ,400円 【A券】x2
家具・寝具・建具,【机】脇机・サイドデスク 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
家具・寝具・建具,【机】製図台・製図机 椅子は別受付になります。注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,"2,100円 【B券】x7"
家具・寝具・建具,【机】製図板 板のみを単品。,400円 【A券】x2
