分類,品目名,料金
趣味・スポーツ・レジャー用品,【楽器】オルガン・電子オルガン・キーボード,"2,100円 【B券】x7"
趣味・スポーツ・レジャー用品,【楽器】キーボード（一人で持ち運びできるもの）,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,【楽器】クラシックギター,400円 【A券】x2
趣味・スポーツ・レジャー用品,【楽器】琴,400円 【A券】x2
趣味・スポーツ・レジャー用品,【楽器】三味線,400円 【A券】x2
趣味・スポーツ・レジャー用品,【楽器】ドラム,400円 【A券】x2
趣味・スポーツ・レジャー用品,【楽器】フォークギター,400円 【A券】x2
趣味・スポーツ・レジャー用品,【楽器】周辺機器：アンプ,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,【楽器】周辺機器：スピーカー,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,【楽器】ケース,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇花瓶,400円 【A券】x2
趣味・スポーツ・レジャー用品,カラオケ演奏装置（大きさ問わず）,700円 【A券】x2 【B券】x1
その他・作業用具,◇ガラスケース（最大辺１５０㎝未満）,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,換気扇,400円 【A券】x2
電気・ガス・石油・厨房器具,換気扇フード,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,【乾燥機】食器洗い乾燥機,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,【乾燥機】食器乾燥機,400円 【A券】x2
電気・ガス・石油・厨房器具,【乾燥機】布団乾燥機,400円 【A券】x2
その他・作業用具,◆脚立,400円 【A券】x2
その他・作業用具,キャットタワー,400円 【A券】x2
その他・作業用具,キャリーカート・ショッピングカート,400円 【A券】x2
趣味・スポーツ・レジャー用品,【キャンプ用品】椅子付テーブル,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,◇キャンプ用品【折りたたみテーブル】,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇キャンプ用品【鉄板・網】,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇キャンプ用品【テント・タープ】,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,◇キャンプ用品【バーベキューコンロ】,400円 【A券】x2
趣味・スポーツ・レジャー用品,【キャンプ用品】パイプ椅子,400円 【A券】x2
電気・ガス・石油・厨房器具,給湯器（壁掛け式）,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,給湯器（床置型）,700円 【A券】x2 【B券】x1
家具・寝具・建具,鏡台・ドレッサー,"1,200円 【B券】x4"
その他・作業用具,空気入れ ※30cm以上のもの,400円 【A券】x2
電気・ガス・石油・厨房器具,空気清浄機,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇クーラーボックス,400円 【A券】x2
その他・作業用具,◇クリスマスツリー（高さ９０㎝未満）,400円 【A券】x2
その他・作業用具,◇クリスマスツリー（高さ９０㎝以上）,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,グリル鍋,400円 【A券】x2
その他・作業用具,【車椅子】手動式,700円 【A券】x2 【B券】x1
その他・作業用具,【車椅子】電動式,"2,100円 【B券】x7"
その他・作業用具,珪藻土（バス）マット,400円 【A券】x2
その他・作業用具,ケトル・ポット（電気) ※30cm以上のもの,400円 【A券】x2
趣味・スポーツ・レジャー用品,◆健康器具【サイクリングマシン】,"1,200円 【B券】x4"
趣味・スポーツ・レジャー用品,◇健康器具【ステッパー】,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇健康器具【美容器具】,400円 【A券】x2
趣味・スポーツ・レジャー用品,◆健康器具【ぶら下がり健康器】,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,◇健康器具【鉄アレイ（１０ｋｇ以下）】,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇健康器具【鉄アレイ（１１ｋｇ以上）】,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,◆健康器具【ランニングマシン】,"2,100円 【B券】x7"
趣味・スポーツ・レジャー用品,◆健康器具【ローイングマシン】,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,【健康器具】マッサージ機（座椅子型）,700円 【A券】x2 【B券】x1
その他・作業用具,高圧洗浄機,400円 【A券】x2
その他・作業用具,◇工具類【工具箱（中身込み）】,400円 【A券】x2
その他・作業用具,◇工具類【大工道具（中身込み）】,400円 【A券】x2
その他・作業用具,◇工具類【電気ドリル】,400円 【A券】x2
その他・作業用具,◇工具類【電気のこぎり・チェーンソー】,400円 【A券】x2
その他・作業用具,◇コードリール,400円 【A券】x2
その他・作業用具,コーヒーメーカー ※30cm以上のもの,400円 【A券】x2
電気・ガス・石油・厨房器具,小型調理器・たこ焼き器,400円 【A券】x2
電気・ガス・石油・厨房器具,【こたつ】こたつ本体（こたつ板を除く）,400円 【A券】x2
家具・寝具・建具,【こたつ】こたつ板,400円 【A券】x2
家具・寝具・建具,子供用（ベビー)椅子,400円 【A券】x2
その他・作業用具,【子供用遊具】一輪車,400円 【A券】x2
その他・作業用具,【子供用遊具】三輪車,400円 【A券】x2
その他・作業用具,【子供用遊具】ジャングルジム（室内用）,700円 【A券】x2 【B券】x1
その他・作業用具,【子供用遊具】乗用玩具,400円 【A券】x2
その他・作業用具,【子供用遊具】すべり台,700円 【A券】x2 【B券】x1
その他・作業用具,【子供用遊具】そり,400円 【A券】x2
その他・作業用具,【子供用遊具】竹馬,400円 【A券】x2
その他・作業用具,【子供用遊具】トランポリン,700円 【A券】x2 【B券】x1
その他・作業用具,【子供用遊具】その他,400円 【A券】x2
その他・作業用具,【子供用遊具】ブランコ,700円 【A券】x2 【B券】x1
OA機器,◇コピー機（サイズＢ４未満）,"1,200円 【B券】x4"
OA機器,◇コピー機（サイズＢ４以上）,"1,700円 【A券】x1 【B券】x5"
その他・作業用具,◇ごみ箱（分別型：最大辺９０㎝未満）,400円 【A券】x2
その他・作業用具,◇ごみ箱（分別型：最大辺９０㎝以上）,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,米びつ（引き出し・棚付き含む）,400円 【A券】x2
趣味・スポーツ・レジャー用品,◆ゴルフ用具【クラブ（10本以内）】,400円 【A券】x2
趣味・スポーツ・レジャー用品,【バッグ】ゴルフ用具,400円 【A券】x2
その他・作業用具,◇コンポスト容器・ポリ容器,400円 【A券】x2
趣味・スポーツ・レジャー用品,◆サーフボード・ロングボード,400円 【A券】x2
家具・寝具・建具,サイドボード（三辺の合計が180㎝未満）,400円 【A券】x2
家具・寝具・建具,サイドボード（三辺の合計が180㎝以上240㎝未満）,700円 【A券】x2 【B券】x1
家具・寝具・建具,サイドボード（三辺の合計が240㎝以上310㎝未満）,"1,200円 【B券】x4"
家具・寝具・建具,サイドボード（三辺の合計が310㎝以上）,"2,100円 【B券】x7"
その他・作業用具,【作業用具】一輪車,700円 【A券】x2 【B券】x1
その他・作業用具,【作業用具】くわ,400円 【A券】x2
その他・作業用具,【作業用具】台車,700円 【A券】x2 【B券】x1
その他・作業用具,【作業用具】スコップ,400円 【A券】x2
その他・作業用具,【作業用具】つるはし,700円 【A券】x2 【B券】x1
その他・作業用具,【作業用具】手押し車,700円 【A券】x2 【B券】x1
その他・作業用具,三脚・スタンド（カメラ・ビデオ用など）,400円 【A券】x2
家具・寝具・建具,◇ＣＤカセットケース,400円 【A券】x2
家具・寝具・建具,◇ＣＤカセットラック,400円 【A券】x2
家具・寝具・建具,【敷物】ウッドカーペット（６畳未満）,"1,700円 【A券】x1 【B券】x5"
家具・寝具・建具,【敷物】ウッドカーペット（６畳以上）,"2,100円 【B券】x7"
家具・寝具・建具,【敷物】カーペット（５畳未満）,400円 【A券】x2
家具・寝具・建具,【敷物】カーペット（５畳以上）,700円 【A券】x2 【B券】x1
家具・寝具・建具,◆敷物【ござ】,400円 【A券】x2
家具・寝具・建具,【敷物】ホットカーペット（５畳未満）,400円 【A券】x2
家具・寝具・建具,【敷物】ホットカーペット（５畳以上）,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,自転車（１６インチ未満）,400円 【A券】x2
趣味・スポーツ・レジャー用品,自転車（１６インチ以上）,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,自転車（電動）,700円 【A券】x2 【B券】x1
趣味・スポーツ・レジャー用品,◇竹刀（１０本以内）,400円 【A券】x2
電気・ガス・石油・厨房器具,ジューサー、ミキサー、低温調理器、ハンドブレンダー、ブレンダー,400円 【A券】x2
OA機器,◇シュレッダ（サイズＢ４未満）,700円 【A券】x2 【B券】x1
OA機器,◇シュレッダ（サイズＢ４以上）,"1,200円 【B券】x4"
電気・ガス・石油・厨房器具,【照明器具】シャンデリア・シーリングライト,400円 【A券】x2
電気・ガス・石油・厨房器具,【照明器具】電気スタンド,400円 【A券】x2
その他・作業用具,◇シルバーカー・手押車,400円 【A券】x2
趣味・スポーツ・レジャー用品,水槽（最大辺６０㎝未満：付属品含む）,400円 【A券】x2
趣味・スポーツ・レジャー用品,水槽（最大辺６０㎝以上：付属品含む）,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,炊飯器,400円 【A券】x2
趣味・スポーツ・レジャー用品,スーツケース,400円 【A券】x2
家具・寝具・建具,◇姿見,400円 【A券】x2
趣味・スポーツ・レジャー用品,◆スキー板,400円 【A券】x2
OA機器,◇スキャナ（サイズＢ４未満）,400円 【A券】x2
OA機器,◇スキャナ（サイズＢ４以上）,"1,200円 【B券】x4"
家具・寝具・建具,◇スチール棚（最大辺９０㎝未満）,700円 【A券】x2 【B券】x1
家具・寝具・建具,◇スチール棚（最大辺９０㎝以上）,"1,700円 【A券】x1 【B券】x5"
電気・ガス・石油・厨房器具,ステレオセット（スピーカー含む）,"1,700円 【A券】x1 【B券】x5"
電気・ガス・石油・厨房器具,ミニコンポ（スピーカー含む）,400円 【A券】x2
電気・ガス・石油・厨房器具,ストーブ,400円 【A券】x2
電気・ガス・石油・厨房器具,【暖房器具】ファンヒーター,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇ストックのみ（１０本以内）,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇スノーボード,400円 【A券】x2
電気・ガス・石油・厨房器具,スピーカー（2個まで：最大辺50㎝未満）,400円 【A券】x2
電気・ガス・石油・厨房器具,スピーカー（2個まで：最大辺50㎝以上）,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,ズボンプレッサー,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,扇風機,400円 【A券】x2
家具・寝具・建具,◆洗面化粧台・洗面台,"1,200円 【B券】x4"
電気・ガス・石油・厨房器具,掃除機,400円 【A券】x2
その他・作業用具,掃除道具,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇体重計,400円 【A券】x2
家具・寝具・建具,◆畳（半畳）,700円 【A券】x2 【B券】x1
家具・寝具・建具,◆畳（一畳）,"1,200円 【B券】x4"
家具・寝具・建具,◇畳（発泡スチロール製のもの：半畳）,400円 【A券】x2
家具・寝具・建具,◇畳（発泡スチロール製のもの：一畳）,700円 【A券】x2 【B券】x1
家具・寝具・建具,◆【建具】雨戸,700円 【A券】x2 【B券】x1
家具・寝具・建具,◆【建具】網戸,400円 【A券】x2
家具・寝具・建具,◆【建具】アルミサッシ,700円 【A券】x2 【B券】x1
家具・寝具・建具,◆【建具】ガラス戸,700円 【A券】x2 【B券】x1
家具・寝具・建具,◆【建具】ドア,700円 【A券】x2 【B券】x1
家具・寝具・建具,◆【建具】ふすま,400円 【A券】x2
家具・寝具・建具,◇【建具】ついたて,400円 【A券】x2
電気・ガス・石油・厨房器具,【暖房器具】パネルヒーター,400円 【A券】x2
家具・寝具・建具,【机】学習机（棚付）,"1,700円 【A券】x1 【B券】x5"
家具・寝具・建具,【机】学習机・平机,"1,200円 【B券】x4"
家具・寝具・建具,【机】パソコンデスク,700円 【A券】x2 【B券】x1
家具・寝具・建具,【机】ライディングデスク,"1,200円 【B券】x4"
家具・寝具・建具,【机】文机,400円 【A券】x2
家具・寝具・建具,【机】学習机の上棚のみ,400円 【A券】x2
家具・寝具・建具,【机】脇机・サイドデスク,400円 【A券】x2
家具・寝具・建具,【机】製図台・製図机,"2,100円 【B券】x7"
家具・寝具・建具,【机】製図板,400円 【A券】x2
その他・作業用具,突っ張り棒（５本以内）,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇釣り竿（10本以内）,400円 【A券】x2
家具・寝具・建具,吊り棚・飾り棚,400円 【A券】x2
家具・寝具・建具,◆テーブル（最大辺８０㎝未満）,400円 【A券】x2
家具・寝具・建具,◆テーブル（最大辺８０㎝以上）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【テーブル】お膳（最大辺80㎝未満）,400円 【A券】x2
家具・寝具・建具,【テーブル】お膳（最大辺80㎝以上）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【テーブル】ガラステーブル（最大辺80㎝未満）,400円 【A券】x2
家具・寝具・建具,【テーブル】ガラステーブル（最大辺80㎝以上）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【テーブル】座卓（最大辺80㎝未満）,400円 【A券】x2
家具・寝具・建具,【テーブル】座卓（最大辺80㎝以上）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【テーブル】ダイニング（最大辺80㎝未満）,400円 【A券】x2
家具・寝具・建具,【テーブル】ダイニング（最大辺80㎝以上）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【テーブル】ちゃぶ台（最大辺80㎝未満）,400円 【A券】x2
家具・寝具・建具,【テーブル】ちゃぶ台（最大辺80㎝以上）,700円 【A券】x2 【B券】x1
家具・寝具・建具,テーブル天板,400円 【A券】x2
電気・ガス・石油・厨房器具,テープレコーダー（オープンリール式）※30㎝以上のもの,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,IH電磁調理器※30㎝以上のもの,"1,200円 【B券】x4"
電気・ガス・石油・厨房器具,電子レンジ,700円 【A券】x2 【B券】x1
その他・作業用具,【トイレ】ポータブルトイレ（介護用含む）,400円 【A券】x2
電気・ガス・石油・厨房器具,時計・置時計・掛時計・柱時計※30㎝以上のもの,400円 【A券】x2
電気・ガス・石油・厨房器具,流し台,"1,200円 【B券】x4"
その他・作業用具,◇鍋・釜・フライパン,400円 【A券】x2
その他・作業用具,【乳児用具】チャイルドシート,400円 【A券】x2
その他・作業用具,【乳児用具】バスケット,400円 【A券】x2
その他・作業用具,【乳児用具】ベビーカー,400円 【A券】x2
その他・作業用具,【乳児用具】ベビージム,400円 【A券】x2
その他・作業用具,【乳児用具】ベビーバス,400円 【A券】x2
その他・作業用具,【乳児用具】ベビーフェンス,400円 【A券】x2
その他・作業用具,【乳児用具】ベビーベッド,700円 【A券】x2 【B券】x1
その他・作業用具,【乳児用具】ベビーラック,400円 【A券】x2
その他・作業用具,【乳児用具】歩行器,400円 【A券】x2
その他・作業用具,【乳児用具】ゆりかご,400円 【A券】x2
その他・作業用具,◇人形・ぬいぐるみ,400円 【A券】x2
その他・作業用具,◇人形ケース,400円 【A券】x2
その他・作業用具,◇パイプ類（１束）,400円 【A券】x2
その他・作業用具,◇パイプハンガー・ポールハンガー・コート掛け,700円 【A券】x2 【B券】x1
その他・作業用具,◇はしご（６段未満）,400円 【A券】x2
その他・作業用具,【バッグ】キャスターバッグ,400円 【A券】x2
その他・作業用具,【バッグ】トランク,400円 【A券】x2
趣味・スポーツ・レジャー用品,バット（5本以内）,400円 【A券】x2
その他・作業用具,バブルスター・浴槽用気泡発生装置,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,パン焼き機・パン作り機・ホームベーカリー※30㎝以上のもの,400円 【A券】x2
その他・作業用具,ビーズクッション,400円 【A券】x2
電気・ガス・石油・厨房器具,ビデオカメラ,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,ビデオデッキ （DVD・ブルーレイ / プレーヤー・レコーダー）,400円 【A券】x2
その他・作業用具,◇火鉢・七輪,400円 【A券】x2
その他・作業用具,ピンチハンガー・角ハンガー,400円 【A券】x2
OA機器,ファクシミリ・ファックス,400円 【A券】x2
その他・作業用具,10kg以下健康器具（腹筋),400円 【A券】x2
その他・作業用具,10kg超過の健康器具（腹筋),700円 【A券】x2 【B券】x1
家具・寝具・建具,仏壇（最大辺30㎝以上50㎝未満）,700円 【A券】x2 【B券】x1
家具・寝具・建具,仏壇（最大辺50㎝以上90㎝未満）,"1,200円 【B券】x4"
家具・寝具・建具,仏壇（最大辺90㎝以上）,"1,700円 【A券】x1 【B券】x5"
家具・寝具・建具,◆布団,400円 【A券】x2
家具・寝具・建具,【布団】羽毛布団,400円 【A券】x2
家具・寝具・建具,【布団】クッション（5個まで）,400円 【A券】x2
家具・寝具・建具,【こたつ】こたつ掛けぶとん,400円 【A券】x2
家具・寝具・建具,【こたつ】こたつ敷きぶとん,400円 【A券】x2
家具・寝具・建具,【布団】座ぶとん（5枚まで）,400円 【A券】x2
家具・寝具・建具,【布団】マットレス,400円 【A券】x2
家具・寝具・建具,【布団】毛布（5枚まで）,400円 【A券】x2
家具・寝具・建具,◇布団干し,400円 【A券】x2
その他・作業用具,◇踏み台,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇譜面立て・譜面台,400円 【A券】x2
家具・寝具・建具,◆ブラインド,400円 【A券】x2
OA機器,◇プリンタ（インクジェット式・バブルジェット式）,400円 【A券】x2
OA機器,◇プリンタ（ドット式・インクリボン式）,700円 【A券】x2 【B券】x1
OA機器,◇プリンタ（レーザー式・トナー式）,"1,700円 【A券】x1 【B券】x5"
電気・ガス・石油・厨房器具,風呂釜,"1,200円 【B券】x4"
その他・作業用具,◇風呂のふた,400円 【A券】x2
家具・寝具・建具,【ベッド】シングルベッド,"1,200円 【B券】x4"
家具・寝具・建具,【ベッド】パイプベッド,700円 【A券】x2 【B券】x1
家具・寝具・建具,【ベッド】セミダブルベッド,"1,700円 【A券】x1 【B券】x5"
家具・寝具・建具,【ベッド】ダブルベッド,"2,100円 【B券】x7"
家具・寝具・建具,【ベッド】ソファーベッド,"2,100円 【B券】x7"
家具・寝具・建具,【ベッド】ベビーベッド・乳児用具,700円 【A券】x2 【B券】x1
その他・作業用具,◆ペットキャリー,400円 【A券】x2
その他・作業用具,◆ペットケージ,400円 【A券】x2
その他・作業用具,◆ペット小屋（木製または金属製）,"1,200円 【B券】x4"
その他・作業用具,◆鳥小屋,400円 【A券】x2
その他・作業用具,ペットトイレ,400円 【A券】x2
家具・寝具・建具,【ベッド】ベッドマット,"1,200円 【B券】x4"
家具・寝具・建具,【ベッド】ベビー用ベッドマット,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇防具（剣道・アメリカンフットボール・アイスホッケ,400円 【A券】x2
その他・作業用具,◇ホースリール（ホース含む）,400円 【A券】x2
趣味・スポーツ・レジャー用品,◇ボーリングの玉,400円 【A券】x2
その他・作業用具,◇ポスト（ポール付）,400円 【A券】x2
電気・ガス・石油・厨房器具,ホットプレート,400円 【A券】x2
その他・作業用具,ボディ・洋裁用ボディ,700円 【A券】x2 【B券】x1
その他・作業用具,◇ポリタンク,400円 【A券】x2
その他・作業用具,◇ポリ容器・コンポスト容器,400円 【A券】x2
電気・ガス・石油・厨房器具,【ミシン】卓上型ミシン・テーブルミシン,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,【ミシン】箱型ミシン・足踏み式ミシン（卓上型以外）,"2,100円 【B券】x7"
電気・ガス・石油・厨房器具,無線機,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,餅つき器,700円 【A券】x2 【B券】x1
その他・作業用具,◆物置（解体済みのもの：最大辺９０㎝未満),700円 【A券】x2 【B券】x1
その他・作業用具,◇物干し竿（５本以内）,400円 【A券】x2
その他・作業用具,◆物干し台（コンクリート付）,"1,200円 【B券】x4"
その他・作業用具,◆物干し台,400円 【A券】x2
電気・ガス・石油・厨房器具,湯沸かし器,400円 【A券】x2
その他・作業用具,浴槽,"1,200円 【B券】x4"
その他・作業用具,◇よしず・すだれ,400円 【A券】x2
その他・作業用具,ラケット（5本以内）,400円 【A券】x2
電気・ガス・石油・厨房器具,ラジオ,400円 【A券】x2
電気・ガス・石油・厨房器具,ラジカセ・ラジオカセット,400円 【A券】x2
家具・寝具・建具,◇ランドリーラック,400円 【A券】x2
電気・ガス・石油・厨房器具,レーザーディスク,400円 【A券】x2
電気・ガス・石油・厨房器具,ロースター（調理器）※30㎝以上のもの,400円 【A券】x2
家具・寝具・建具,【箱物家具】ロッカー（３辺の合計が180cm未満）,400円 【A券】x2
家具・寝具・建具,【箱物家具】ロッカー（３辺の合計が180cm以上240cm未満）,700円 【A券】x2 【B券】x1
家具・寝具・建具,【箱物家具】ロッカー（３辺の合計が240cm以上310cm未満）,"1,200円 【B券】x4"
家具・寝具・建具,【箱物家具】ロッカー（３辺の合計が310cm以上）,"2,100円 【B券】x7"
家具・寝具・建具,◇ワゴン（最大辺９０㎝未満）,400円 【A券】x2
家具・寝具・建具,◇ワゴン（最大辺９０㎝以上）,700円 【A券】x2 【B券】x1
